bulan,kabupaten/kota,kebutuhan,ketersediaan,kode_kabupaten_atau_kota,kode_komoditas,komoditas,minggu,neraca,Nama Kabupaten Kota,nama_kabupaten_kota,bulan/month,tahun
6,BOGOR,59242,61717,3201,3010,beras,3,2474,BOGOR,BOGOR,,2024
6,SUKABUMI,29573,106214,3202,3010,beras,3,76641,SUKABUMI,SUKABUMI,,2024
6,CIANJUR,17449,556501,3203,3010,beras,3,539052,CIANJUR,CIANJUR,,2024
6,BANDUNG,39129,16026,3204,3010,beras,3,-23103,BANDUNG,BANDUNG,,2024
6,GARUT,18202,176638,3205,3010,beras,3,158435,GARUT,GARUT,,2024
6,TASIKMALAYA,12869,22725,3206,3010,beras,3,9856,TASIKMALAYA,TASIKMALAYA,,2024
6,CIAMIS,13169,45293,3207,3010,beras,3,32124,CIAMIS,CIAMIS,,2024
6,KUNINGAN,12656,49039,3208,3010,beras,3,36383,KUNINGAN,KUNINGAN,,2024
6,CIREBON,24896,191075,3209,3010,beras,3,166178,CIREBON,CIREBON,,2024
6,MAJALENGKA,9061,157697,3210,3010,beras,3,148635,MAJALENGKA,MAJALENGKA,,2024
6,SUMEDANG,12377,104677,3211,3010,beras,3,92301,SUMEDANG,SUMEDANG,,2024
6,KABUPATEN INDRAMAYU,19955,368617,3212,3010,beras,3,348662,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU,,2024
6,SUBANG,17253,124880,3213,3010,beras,3,107627,SUBANG,SUBANG,,2024
6,KABUPATEN PURWAKARTA,10907,416438,3214,3010,beras,3,405531,KABUPATEN PURWAKARTA,KABUPATEN PURWAKARTA,,2024
6,KARAWANG,26631,271392,3215,3010,beras,3,244761,KARAWANG,KARAWANG,,2024
6,BEKASI,35241,90000,3216,3010,beras,3,54759,BEKASI,BEKASI,,2024
6,BANDUNG BARAT,19566,14875,3217,3010,beras,3,-4691,BANDUNG BARAT,BANDUNG BARAT,,2024
6,PANGANDARAN,4526,55136,3218,3010,beras,3,50610,PANGANDARAN,PANGANDARAN,,2024
6,KOTA BOGOR,11243,27467,3271,3010,beras,3,16224,KOTA BOGOR,KOTA BOGOR,,2024
6,KOTA SUKABUMI,3813,9037,3272,3010,beras,3,5224,KOTA SUKABUMI,KOTA SUKABUMI,,2024
6,KOTA BANDUNG,26358,74709,3273,3010,beras,3,48351,KOTA BANDUNG,KOTA BANDUNG,,2024
6,KOTA CIREBON,2310,102010,3274,3010,beras,3,99700,KOTA CIREBON,KOTA CIREBON,,2024
6,KOTA BEKASI,17714,97248,3275,3010,beras,3,79534,KOTA BEKASI,KOTA BEKASI,,2024
6,KOTA DEPOK,14495,30031,3276,3010,beras,3,15535,KOTA DEPOK,KOTA DEPOK,,2024
6,KOTA CIMAHI,4186,29850,3277,3010,beras,3,25664,KOTA CIMAHI,KOTA CIMAHI,,2024
